   Average 

Sample_Type m n Runtime
Inverse_Sorted_Vector 197 10000 10
   Average 

Sample_Type m n Runtime
Random_Vector 115 10000 25
Random_Vector 227 10000 25
Random_Vector 107 10000 25
Random_Vector 244 10000 25
Random_Vector 241 10000 25
Random_Vector 245 10000 25
Random_Vector 145 10000 25
Random_Vector 204 10000 25
Random_Vector 215 10000 25
Random_Vector 109 10000 25
   Average 

Sample_Type m n Runtime
Sorted_Vector 1 10000 25
Sorted_Vector 1 10000 25
Sorted_Vector 1 10000 25
Sorted_Vector 2 10000 25
Sorted_Vector 1 10000 25
Sorted_Vector 1 10000 25
Sorted_Vector 2 10000 25
Sorted_Vector 1 10000 25
Sorted_Vector 2 10000 25
Sorted_Vector 1 10000 25
   Average 

Sample_Type m n Runtime
Inverse_Sorted_Vector 171 10000 25
Inverse_Sorted_Vector 171 10000 25
Inverse_Sorted_Vector 195 10000 25
Inverse_Sorted_Vector 352 10000 25
Inverse_Sorted_Vector 443 10000 25
Inverse_Sorted_Vector 363 10000 25
Inverse_Sorted_Vector 479 10000 25
Inverse_Sorted_Vector 390 10000 25
Inverse_Sorted_Vector 418 10000 25
Inverse_Sorted_Vector 334 10000 25
   Average 

Sample_Type m n Runtime
Random_Vector 72 10000 50
Random_Vector 271 10000 50
Random_Vector 226 10000 50
Random_Vector 234 10000 50
Random_Vector 237 10000 50
Random_Vector 72 10000 50
Random_Vector 224 10000 50
Random_Vector 191 10000 50
Random_Vector 267 10000 50
Random_Vector 87 10000 50
   Average 

Sample_Type m n Runtime
Sorted_Vector 2 10000 50
Sorted_Vector 2 10000 50
Sorted_Vector 1 10000 50
Sorted_Vector 2 10000 50
Sorted_Vector 2 10000 50
Sorted_Vector 2 10000 50
Sorted_Vector 2 10000 50
Sorted_Vector 2 10000 50
Sorted_Vector 2 10000 50
Sorted_Vector 2 10000 50
   Average 

Sample_Type m n Runtime
Inverse_Sorted_Vector 351 10000 50
Inverse_Sorted_Vector 457 10000 50
Inverse_Sorted_Vector 311 10000 50
Inverse_Sorted_Vector 413 10000 50
Inverse_Sorted_Vector 196 10000 50
Inverse_Sorted_Vector 452 10000 50
Inverse_Sorted_Vector 327 10000 50
Inverse_Sorted_Vector 188 10000 50
Inverse_Sorted_Vector 243 10000 50
Inverse_Sorted_Vector 348 10000 50
   Average 

Sample_Type m n Runtime
Random_Vector 741 25000 10
